t_buy,t_sell,RETURN
1.2851,1.2185,231791.22619628906
1.3493,1.1302,160618.9567565918
1.3476,1.2475,135979.8377990723
1.3075,1.1822,163249.70245361328
1.3435,1.2154,140626.9187927246
1.2983,1.1136,147323.50845336914
1.3287,1.2779,143837.90740966797
1.33,1.1153,165857.49588012695
1.2993,1.1986,180587.22915649414
1.2827,1.1925,219334.53216552734
1.308,1.1909,177739.07318115234
1.2996,1.1436,151687.9409790039
1.3316,1.27,140577.72750854492
1.3367,1.2304,144244.60067749026
1.3438,1.1391,159217.13104248047
1.314,1.2134,147567.0639038086
1.3352,1.2073,144649.05014038086
1.324,1.1665,161336.82861328125
1.3049,1.2174,179055.59997558594
1.3125,1.2687,146031.4468383789
1.334,1.2358,146240.79666137698
1.3128,1.2192,146318.41583251953
1.3143,1.2034,158850.42266845703
1.3199,1.2502,148775.7598876953
1.3082,1.1202,148161.26251220703
1.2805,1.2497,205842.0768737793
1.3408,1.1374,159217.13104248047
1.3028,1.2634,176816.99981689453
1.2964,1.2765,137402.64587402344
1.3487,1.2494,139889.89334106448
1.3109,1.2547,165969.57626342773
1.3415,1.1334,158516.3314819336
1.3214,1.1355,150584.80606079102
1.3203,1.2175,142159.59854125977
1.3397,1.2455,139775.44021606448
1.3431,1.2101,140264.74838256836
1.2946,1.1129,270381.10275268555
1.3389,1.1043,267643.03817749023
1.3203,1.1555,152454.03366088867
1.3013,1.1622,158458.9942932129
1.323,1.208,148243.17245483398
1.3031,1.2189,178950.38452148438
1.3171,1.1617,156061.7820739746
1.3497,1.2288,140654.41894531253
1.2832,1.1997,210272.54257202148
1.3489,1.1988,151491.51458740234
1.2916,1.2056,190630.82122802734
1.2869,1.2406,310820.8923339844
1.3418,1.2158,140626.9187927246
1.2979,1.2756,164295.2735900879
1.3479,1.2206,136554.59594726565
1.2857,1.2251,205461.21444702148
1.2909,1.1536,168072.95761108398
1.3244,1.1705,161884.80682373047
1.345,1.1105,157206.62384033203
1.3018,1.1134,148024.88250732422
1.3436,1.1599,169927.9754638672
1.3038,1.2403,184334.51690673828
1.3456,1.1424,164898.01330566406
1.3384,1.2702,138515.14511108398
1.3329,1.1468,167780.1773071289
1.3158,1.1554,152484.35897827148
1.315,1.1634,155921.78268432617
1.2926,1.1387,151286.56692504883
1.3255,1.1661,161336.82861328125
1.3278,1.1698,170109.23767089844
1.344,1.1918,172885.56060791016
1.3207,1.2563,138879.2335510254
1.3267,1.2024,152821.57745361328
1.2903,1.1538,168072.95761108398
1.317,1.1771,161658.51287841797
1.3264,1.2797,140429.3731689453
1.3489,1.2175,137745.17211914062
1.2849,1.229,340775.2815246582
1.321,1.2178,141965.7371520996
1.2844,1.128,155711.06796264648
1.2977,1.1021,270282.3051452637
1.2953,1.2093,186007.01904296875
1.2874,1.2526,186163.68789672852
1.2927,1.1674,157346.67053222656
1.3279,1.1645,170109.23767089844
1.2837,1.2127,216315.26336669922
1.2845,1.2006,219142.8924560547
1.2814,1.245,594642.8466796875
1.2875,1.1868,180790.7814025879
1.3271,1.2302,138330.17959594727
1.2986,1.1568,158043.22052001953
1.2828,1.1879,205852.80685424805
1.3487,1.2487,139889.89334106448
1.3087,1.1036,271082.4768066406
1.3209,1.2451,142460.9031677246
1.2864,1.2714,179260.034942627
1.3447,1.193,172681.8634033203
1.2841,1.1812,182735.4133605957
1.2902,1.2613,182957.83996582028
1.285,1.1694,181458.3152770996
1.3222,1.2289,151700.93154907227
1.2843,1.2203,208082.8399658203
1.3346,1.154,168462.17651367188
1.2927,1.1064,270381.10275268555
1.2959,1.2641,179578.3721923828
1.3083,1.1005,274083.1726074219
1.29,1.1097,154965.99044799805
1.3187,1.1449,152879.47692871094
1.3142,1.2134,147567.0639038086
1.3448,1.2639,136591.0400390625
1.3499,1.2026,151596.95434570312
1.2947,1.1816,166807.30209350586
1.2813,1.1112,399107.6126098633
1.3086,1.2526,171331.38961791992
1.3459,1.1647,169337.4252319336
1.2876,1.2204,204021.24786376953
1.3107,1.2712,163567.18521118164
1.2952,1.2414,185234.68551635742
1.2935,1.1332,150920.9701538086
1.3337,1.1188,160337.64114379883
1.345,1.251,135390.8126831055
1.3434,1.1472,171065.78216552734
1.3457,1.1685,169337.4252319336
1.34,1.1058,157206.62384033203
1.312,1.1569,156420.7649230957
1.3415,1.1357,158516.3314819336
1.3117,1.254,146568.96133422852
1.298,1.2236,187036.91177368164
1.2901,1.1119,154965.99044799805
1.2997,1.2163,188296.86431884766
1.3157,1.1737,156352.20260620117
1.2981,1.1981,179885.85510253906
1.3167,1.1817,163864.0396118164
1.3134,1.1204,148161.26251220703
1.3491,1.1073,158436.31210327148
1.3456,1.1726,168877.4139404297
1.3317,1.2301,146312.07962036136
1.2964,1.2282,209274.69482421875
1.3244,1.1169,154050.98114013672
1.3308,1.1212,165857.49588012695
1.336,1.1449,166555.65872192383
1.3111,1.2535,147582.98568725586
1.3444,1.252,134940.75469970703
1.3126,1.131,150874.51400756836
1.3124,1.1682,155724.21493530273
1.3014,1.115,148024.88250732422
1.3195,1.1523,154285.07766723633
1.3359,1.1431,167808.94393920898
1.3203,1.1378,150950.40283203125
1.2974,1.1435,150986.56692504883
1.3022,1.2744,212953.93905639648
1.3424,1.2174,140626.9187927246
1.2815,1.1674,174353.87573242188
1.3483,1.1895,167229.17861938477
