ticker,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_41,alpha_52,alpha_53,alpha_54,price_change
AAPL,3.0770925110132157,0.08983418399285015,0.1505379952764704,-5.178423236514523,-11724.629166666668,0.16123333636132914,-2.203833991588143,0.3300018310546875,-5.960346937737095,-0.5087948776407393,2.740234817537729
MSFT,3.0575221238938055,0.0713150609809848,0.12179539191926671,-5.095435684647303,-12533.208333333334,0.13637480944777952,-7.005257831467145,5.760040283203125,-5.856697473872783,-0.4996702252841835,-0.35247226221304157
AMZN,3.0530973451327434,0.08879107104688042,0.037884341795985356,-4.6929460580912865,-11270.554166666667,0.030772124997464255,-9.496412583236511,4.889991760253906,-1.2125700602485225,-0.4908483283396994,0.12724369691925388
GOOGL,2.933628318584071,0.11388828110163758,0.16073627211473446,-4.6970954356846475,-12031.975,0.1529677141869559,-7.849000377612432,2.6699981689453125,-4.156264147337083,-0.479654185630883,-1.822625325919355
META,2.8185840707964602,0.05882113532695262,-0.033215571475012313,-5.186721991701245,-12321.708333333334,-0.022699743626361003,-11.597780774865527,-16.230010986328125,-1.9277983164436139,-0.4655255455207152,1.4621650242833235
TSLA,3.0309734513274336,0.05624036681395272,0.1177427812139623,-4.626556016597511,-10567.004166666668,0.10210028699409987,-29.276577889992282,37.379974365234375,-2.733965272897697,-0.46942605271393484,-0.10839355817919001
JPM,3.1150442477876106,0.04696823307717975,0.21517149936653593,-5.1161825726141075,-12329.1,0.251781959807076,3.4649336490360327,7.170021057128906,0.5954556646402575,-0.5153880426060575,10.563761491369162
V,3.0707964601769913,0.1066044798182777,0.1576069357418407,-5.365145228215767,-12730.3375,0.14680025541997196,2.9519947611092716,-5.699981689453125,-4.839923125679846,-0.5028046892430084,3.166547568634565
PG,2.843612334801762,0.04071404250405699,0.14368681096986033,-5.178423236514523,-13427.2375,0.13053581264042413,-3.7989312344992063,-2.4900054931640625,-17.449591359844785,-0.5060169782202248,0.16560677588856718
NVDA,3.1769911504424777,-0.032891680568668896,0.06971825144680115,-5.419087136929461,-12484.991666666667,0.05769539874571412,2.052106151277117,21.2999267578125,-2.7548059106318146,-0.49238304544363326,0.3190851211236541
